step_i,ReactantA,amountA,ReactantB,amountB,ReactantC,amountC,ReactantD,amountD,ReactantE,amountE,ReactantF,amountF,Intermediate,temperature,time,atmosphere,active_site,metal_metal_distance,FileName,coordinationtypeA,numbersA,coordinationtypeB,numbersB,coordinationtypeC,numbersC,stir,stir_time,stir_temperature
1,UiO-66-NH2,pre-synthesized crystalline powder,,,,,,,,,,,UiO-66-NH2 host,,,AIR,Cu Fe anchored on Zr6O4 SBU via O OH coordination,3.35 ?,_20260318_103612_xue_2023_controlled_synthesis_of_cu_fe_dual_atom_c.json,O,4,S,1,B,1,,,
2,"Cu^{2+} source (e.g., Cu(NO3)2)",not specified,"Fe^{3+} source (e.g., FeCl3)",not specified,2-methylimidazole (meIm),"dibasic linker, not quantified",,,,,,,"meIm-bridged Cu,Fe@UiO-66-NH2 precursor",,,AIR,Cu Fe anchored on Zr6O4 SBU via O OH coordination,3.35 ?,_20260318_103612_xue_2023_controlled_synthesis_of_cu_fe_dual_atom_c.json,O,4,S,1,B,1,,,
3,"meIm-bridged Cu,Fe@UiO-66-NH2 precursor",all,,,,,,,,,,,"Cu,Fe-UiO DAC",180,,AIR,Cu Fe anchored on Zr6O4 SBU via O OH coordination,3.35 ?,_20260318_103612_xue_2023_controlled_synthesis_of_cu_fe_dual_atom_c.json,O,4,S,1,B,1,,,
1,Al(NO3)3﹞9H2O,not specified,"2,2'-bipyridine-5,5'-dicarboxylic acid (H2dcbpy)",not specified,acetic acid (HOAc),not specified,"N,N'-dimethylformamide (DMF)",not specified,,,,,MOF-253,,,AIR,Ni2H22,,_20260318_104112_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,,,120
2,MOF-253,not specified,"NiBr2(1,2-dimethoxyethane) [NiBr2(dme)]",not specified,,,,,,,,,MOF-NiBr2,,,N2,Ni2H22,,_20260318_104112_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,,,
3,MOF-NiBr2,not specified,NaBHEt3,excess,,,,,,,,,MOF-NiH,,2,N2,Ni2H22,,_20260318_104112_guo_2023_generation_and_stabilization_of_a_dinicke.json,H,22,,0,,0,yes,2,
1,dopamine hydrochloride,70 mg,Ni(NO3)2﹞6H2O,equimolar with Co(NO3)2﹞6H2O,Co(NO3)2﹞6H2O,equimolar with Ni(NO3)2﹞6H2O,,,,,,,Ni2+-Co2+@Polydopamine,,,AIR,NiCoN6,2.41 ?,_20260318_104402_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,yes,24,
2,Ni2+-Co2+@Polydopamine,certain amount,dicyandiamide,7 times molar ratio relative to precursor,,,,,,,,,NiCo-SAD-NC,800,2,,NiCoN6,2.41 ?,_20260318_104402_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,,,
1,dopamine hydrochloride,70 mg,Ni(NO3)2﹞6H2O,not specified,Co(NO3)2﹞6H2O,not specified,,,,,,,Ni2+-Co2+@polydopamine precursor,,,AIR,NiCoN6,2.41 ?,_20260318_111338_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,yes,24,
2,Ni2+-Co2+@polydopamine precursor,not specified,dicyandiamide,not specified (ratio 1:7 with precursor),,,,,,,,,NiCo-SAD-NC,800,2,,NiCoN6,2.41 ?,_20260318_111338_kumar_2021_moving_beyond_bimetallic_alloy_to_singl.json,N,6,,0,,0,,,
